Trade Date,Index,Trade Start,Trade End,Delivery Start,Delivery End,Index Price,Price Currency,Duration,Traded Volume,Total Traded Volume,Traded Volume Unit,Alternate Volume,Total Alternate Volume,Trades In Index,Last Update Time,Component Type,Settle State
2015-01-01,ICE NGX AB-NIT Same Day Index (5A),2014-12-31,2014-12-31 23:59:59,2014-12-31,2015-01-01,2.6659,CAD,1.0,1140500.0,2281000.0,GJ,,,130.0,2015-01-01 02:15:19,Index,Settled
2015-01-02,ICE NGX AB-NIT Same Day Index (5A),2015-01-02,2015-01-02 23:59:59,2015-01-02,2015-01-04,2.7065,CAD,1.0,995000.0,2985000.0,GJ,,,146.0,2015-01-03 02:15:01,Index,Settled
2015-01-03,ICE NGX AB-NIT Same Day Index (5A),2015-01-02,2015-01-02 23:59:59,2015-01-02,2015-01-04,2.7065,CAD,1.0,995000.0,2985000.0,GJ,,,146.0,2015-01-03 02:15:02,Index,Settled
2015-01-04,ICE NGX AB-NIT Same Day Index (5A),2015-01-02,2015-01-02 23:59:59,2015-01-02,2015-01-04,2.7065,CAD,1.0,995000.0,2985000.0,GJ,,,146.0,2015-01-03 02:15:06,Index,Settled
2015-01-05,ICE NGX AB-NIT Same Day Index (5A),2015-01-05,2015-01-05 23:59:59,2015-01-05,2015-01-05,2.9992,CAD,1.0,2526500.0,2526500.0,GJ,,,364.0,2015-01-06 02:15:03,Index,Settled
2015-01-06,ICE NGX AB-NIT Same Day Index (5A),2015-01-06,2015-01-06 23:59:59,2015-01-06,2015-01-06,2.6419,CAD,1.0,1249100.0,1249100.0,GJ,,,205.0,2015-01-07 02:15:03,Index,Settled
2015-01-07,ICE NGX AB-NIT Same Day Index (5A),2015-01-07,2015-01-07 23:59:59,2015-01-07,2015-01-07,2.6613,CAD,1.0,1288600.0,1288600.0,GJ,,,203.0,2015-01-08 02:15:03,Index,Settled
2015-01-08,ICE NGX AB-NIT Same Day Index (5A),2015-01-08,2015-01-08 23:59:59,2015-01-08,2015-01-08,2.6858,CAD,1.0,1492500.0,1492500.0,GJ,,,228.0,2015-01-09 02:15:14,Index,Settled
2015-01-09,ICE NGX AB-NIT Same Day Index (5A),2015-01-09,2015-01-09 23:59:59,2015-01-09,2015-01-11,2.6304,CAD,1.0,943300.0,2829900.0,GJ,,,147.0,2015-01-10 02:15:01,Index,Settled
2015-01-10,ICE NGX AB-NIT Same Day Index (5A),2015-01-09,2015-01-09 23:59:59,2015-01-09,2015-01-11,2.6304,CAD,1.0,943300.0,2829900.0,GJ,,,147.0,2015-01-10 02:15:01,Index,Settled
2015-01-11,ICE NGX AB-NIT Same Day Index (5A),2015-01-09,2015-01-09 23:59:59,2015-01-09,2015-01-11,2.6304,CAD,1.0,943300.0,2829900.0,GJ,,,147.0,2015-01-10 02:15:05,Index,Settled
2015-01-12,ICE NGX AB-NIT Same Day Index (5A),2015-01-12,2015-01-12 23:59:59,2015-01-12,2015-01-12,2.5209,CAD,1.0,1421900.0,1421900.0,GJ,,,209.0,2015-01-13 02:15:03,Index,Settled
2015-01-13,ICE NGX AB-NIT Same Day Index (5A),2015-01-13,2015-01-13 23:59:59,2015-01-13,2015-01-13,2.5577,CAD,1.0,1221600.0,1221600.0,GJ,,,176.0,2015-01-14 02:15:03,Index,Settled
2015-01-14,ICE NGX AB-NIT Same Day Index (5A),2015-01-14,2015-01-14 23:59:59,2015-01-14,2015-01-14,2.7588,CAD,1.0,1300400.0,1300400.0,GJ,,,198.0,2015-01-15 02:15:03,Index,Settled
2015-01-15,ICE NGX AB-NIT Same Day Index (5A),2015-01-15,2015-01-15 23:59:59,2015-01-15,2015-01-15,2.8677,CAD,1.0,1364100.0,1364100.0,GJ,,,210.0,2015-01-16 02:15:03,Index,Settled
2015-01-16,ICE NGX AB-NIT Same Day Index (5A),2015-01-16,2015-01-16 23:59:59,2015-01-16,2015-01-19,2.6303,CAD,1.0,1163200.0,4652800.0,GJ,,,195.0,2015-01-17 02:15:01,Index,Settled
