Date,Clean_Solar_Generation,Trend_Seasonal_Component
7/11/2018,121.8232757,108.8887249
7/12/2018,116.8204979,102.8627361
7/13/2018,116.575665,96.83833222
7/14/2018,102.1262211,90.83949592
7/15/2018,113.6734428,84.88991229
7/16/2018,116.5066653,79.01287374
7/17/2018,71.15788772,73.23118696
7/18/2018,106.7326652,67.56708253
7/19/2018,110.5319979,62.04212732
7/20/2018,119.4359976,56.67714029
7/21/2018,113.6129978,51.4921117
7/22/2018,100.8044985,46.50612633
7/23/2018,109.9346101,41.7372908
7/24/2018,47.46527684,37.20266527
7/25/2018,109.6936649,32.91819996
7/26/2018,105.0903592,28.89867641
7/27/2018,104.7124423,25.15765403
7/28/2018,112.6942202,21.70742183
7/29/2018,114.4844431,18.55895567
7/30/2018,107.202276,15.72188114
7/31/2018,100.7179988,13.20444218
8/1/2018,107.1584989,11.01347545
8/2/2018,107.6054426,9.154390751
8/3/2018,94.21305378,7.631157233
8/4/2018,68.50810983,6.446295697
8/5/2018,56.58899895,5.600876801
8/6/2018,98.63694275,5.094525245
8/7/2018,87.42755416,4.925429843
8/8/2018,93.91483104,5.090359418
8/9/2018,90.52516461,5.584684435
8/10/2018,84.37205396,6.402404242
8/11/2018,65.43711007,7.536179785
8/12/2018,88.83077648,8.977371638
8/13/2018,108.3838314,10.71608315
8/14/2018,90.32566501,12.74120855
8/15/2018,49.75177687,15.04048569
8/16/2018,75.89222066,17.60055339
8/17/2018,61.20938803,20.40701281
8/18/2018,61.7520545,23.44449294
8/19/2018,65.26827679,26.69671966
8/20/2018,90.35627597,30.14658814
8/21/2018,104.9927211,33.77623835
8/22/2018,74.78216506,37.56713323
8/23/2018,90.90316567,41.50013931
8/24/2018,30.53844373,45.55560936
8/25/2018,79.62488746,49.71346671
8/26/2018,43.20511034,53.95329098
8/27/2018,29.18222181,58.25440478
8/28/2018,77.29577648,62.59596106
8/29/2018,65.39466542,66.95703072
8/30/2018,91.40772103,71.31669021
8/31/2018,105.8896648,75.65410857
9/1/2018,79.41683202,79.94863385
9/2/2018,87.46260946,84.17987821
9/3/2018,48.45638788,88.32780175
9/4/2018,86.21922088,92.37279429
9/5/2018,106.0956096,96.29575525
9/6/2018,99.18405366,100.0781709
9/7/2018,87.40072038,103.7021889
9/8/2018,81.19716577,107.1506898
9/9/2018,74.01960981,110.4073553
9/10/2018,55.1399434,113.4567328
9/11/2018,99.24033181,116.2842959
9/12/2018,73.10322118,118.8765014
9/13/2018,39.02772138,121.2208415
9/14/2018,37.29599934,123.3058916
9/15/2018,17.61316655,125.1213537
9/16/2018,14.59311086,126.6580947
9/17/2018,54.00772117,127.9081799
9/18/2018,32.55572163,128.8649011
9/19/2018,40.07538821,129.5228005
9/20/2018,59.54016553,129.8776877
9/21/2018,51.09638791,129.9266532
9/22/2018,16.21894416,129.6680752
9/23/2018,23.36777725,129.1016222
9/24/2018,46.21888817,128.2282488
9/25/2018,78.36063733,127.050188
9/26/2018,43.26366593,125.5709367
9/27/2018,22.27588856,123.7952374
9/28/2018,47.88372143,121.7290533
9/29/2018,74.73427653,119.3795401
9/30/2018,24.68988852,116.7550118
10/1/2018,12.74699974,113.8649022
10/2/2018,14.24938858,110.7197225
10/3/2018,55.59977706,107.3310136
10/4/2018,42.98311038,103.7112949
10/5/2018,81.70294292,99.8740096
10/6/2018,91.42505374,95.83346561
10/7/2018,84.13272073,91.60477364
10/8/2018,7.602999887,87.20378206
10/9/2018,0.486833324,82.64700892
10/10/2018,14.74616636,77.95157151
10/11/2018,42.07622144,73.13511364
10/12/2018,62.39005431,68.21573106
10/13/2018,22.97711057,63.21189519
10/14/2018,69.24499902,58.14237569
10/15/2018,59.1967768,53.0261619
10/16/2018,78.70294294,47.88238382
10/17/2018,71.48499889,42.73023261
10/18/2018,61.94783202,37.58888121
10/19/2018,71.36644355,32.47740528
10/20/2018,71.76972099,27.41470471
10/21/2018,71.61916576,22.41942629
10/22/2018,70.6141658,17.50988746
10/23/2018,68.23333218,12.70400184
10/24/2018,47.02372136,8.019206554
10/25/2018,58.87283187,3.472391803
10/26/2018,53.56733224,-0.920167122
10/27/2018,56.96716546,-5.142875051
10/28/2018,23.6101107,-9.180879159
10/29/2018,42.87377696,-13.02012793
10/30/2018,34.36499931,-16.64742664
10/31/2018,33.70294391,-20.05048914
11/1/2018,14.91783315,-23.21798571
11/2/2018,4.651666441,-26.13958691
11/3/2018,40.76227704,-28.80600305
11/4/2018,14.90555538,-31.20901937
11/5/2018,34.56672173,-33.3415266
11/6/2018,16.12094413,-35.19754695
11/7/2018,5.082221997,-36.7722553
11/8/2018,12.50844428,-38.06199555
11/9/2018,11.80788865,-39.06429223
11/10/2018,22.92422181,-39.77785703
11/11/2018,23.41177745,-40.20259056
11/12/2018,12.86872186,-40.33957913
11/13/2018,27.82333292,-40.19108664
11/14/2018,25.3976106,-39.76054166
11/15/2018,27.45838846,-39.05251974
11/16/2018,11.20074972,-38.07272101
11/17/2018,31.2214439,-36.8279432
11/18/2018,9.500333061,-35.3260502
11/19/2018,30.76505504,-33.57593635
11/20/2018,30.05694395,-31.58748644
11/21/2018,19.34399968,-29.3715319
11/22/2018,15.54955522,-26.93980301
11/23/2018,15.95422184,-24.30487764
11/24/2018,0,-21.48012655
11/25/2018,0.425999975,-18.4796556
11/26/2018,8.747999804,-15.31824498
11/27/2018,21.61224951,-12.01128589
11/28/2018,28.7561663,-8.574714778
11/29/2018,28.56227752,-5.024945505
11/30/2018,21.77144407,-1.378799665
12/1/2018,0.884333281,2.346564599
12/2/2018,0,6.133725026
12/3/2018,5.038666489,9.965068606
12/4/2018,15.69499979,13.82286557
12/5/2018,7.906999838,17.68934374
12/6/2018,22.8142773,21.54676285
12/7/2018,23.62294381,25.37748863
12/8/2018,25.53799927,29.1640663
12/9/2018,20.51233289,32.88929317
12/10/2018,16.70533299,36.53629003
12/11/2018,19.23066623,40.08857117
12/12/2018,13.22924976,43.53011251
12/13/2018,7.773333058,46.84541782
12/14/2018,6.025166459,50.01958259
12/15/2018,24.25088833,53.03835535
12/16/2018,19.92922191,55.88819619
